part,group,material,pieces,size_x_mm,size_y_mm,size_z_mm
tappet_4_3,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_5_0,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_5_1,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_5_2,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_5_3,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_6_0,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_6_1,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_6_2,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_6_3,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_7_0,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_7_1,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_7_2,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_7_3,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_8_0,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_8_1,03 Heads and Valvetrain,steel_nitrided,2,28.0,29.8,32.4
tappet_8_2,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
tappet_8_3,03 Heads and Valvetrain,steel_nitrided,2,28.0,32.4,29.8
valve_ex_1_1,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_1_2,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_2_1,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_2_2,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_3_1,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_3_2,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_4_1,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_4_2,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_5_1,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_5_2,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
valve_ex_6_1,03 Heads and Valvetrain,inconel,1,29.0,61.3,79.9
